song_rank,song_name,song_artist,song_date,song_url
1,愛情限時批 (Express love letter),"琳誼 Ring, 許富凱",2021-08-01,https://www.kkbox.com/tw/tc/song/Gpb00L-OOTrXdqOPXdqOP0XL-index.html
2,心愛的再會啦 (Farewell my love),琳誼 Ring,2021-06-01,https://www.kkbox.com/tw/tc/song/fon00SkLpH7fYv9NfYv9N0XL-index.html
3,牡丹雨,陳隨意vs唐儷,2021-07-01,https://www.kkbox.com/tw/tc/song/I1n00S0.p5bdm0Wzdm0Wz0XL-index.html
4,歲月的腳步,唐儷vs陳隨意,2021-06-08,https://www.kkbox.com/tw/tc/song/B5D00CqM6T7K3yVvK3yVv0XL-index.html
5,今生愛一回,陳淑萍vs陳隨意,2021-06-08,https://www.kkbox.com/tw/tc/song/PlK00HrW7T7SUgI3SUgI30XL-index.html
6,愛是因為你 - 三立八點檔「天之驕女」片尾曲,蘇宥蓉,2021-07-31,https://www.kkbox.com/tw/tc/song/aD-00I7A6XrT2qXTT2qXT0XL-index.html
7,心愛別離開,陳淑萍vs楊哲,2021-06-08,https://www.kkbox.com/tw/tc/song/hty0067W7T7BCRW3BCRW30XL-index.html
8,男人酒女人淚,陳隨意vs唐儷,2021-07-01,https://www.kkbox.com/tw/tc/song/Zrp00GG.p5bOVjizOVjiz0XL-index.html
9,雨夜相思淚,董育君vs吳俊宏,2021-07-01,https://www.kkbox.com/tw/tc/song/G7L00K7XL5bUHK4zUHK4z0XL-index.html
10,胭脂花,陳淑萍,2021-06-08,https://www.kkbox.com/tw/tc/song/l9I00TbW7T7hkx43hkx430XL-index.html
11,讓愛飛翔,豪記之星,2021-06-17,https://www.kkbox.com/tw/tc/song/UsJ005O4NTN9RAxx9RAxx0XL-index.html
12,紅塵一場夢,陳隨意,2021-07-01,https://www.kkbox.com/tw/tc/song/F--j800w0.p5b3i4z3i4z0X4-index.html
13,出賣愛情,唐儷,2021-06-08,https://www.kkbox.com/tw/tc/song/eL100OaM6T7.MFHv.MFHv0XL-index.html
14,暗溝 (Blind Ditch),張伍 (Chang Wu),2021-05-25,https://www.kkbox.com/tw/tc/song/asi00PIU68rauBcxauBcx0XL-index.html
15,不如醉,唐儷,2021-06-08,https://www.kkbox.com/tw/tc/song/6tT00x6M6T72lhhv2lhhv0XL-index.html
16,雪花箭,陳隨意,2021-07-01,https://www.kkbox.com/tw/tc/song/kI700WW.p5bkvlOzkvlOz0XL-index.html
17,問你敢不敢,袁小迪,2021-08-05,https://www.kkbox.com/tw/tc/song/DBm00-tHsE7rzopnrzopn0XL-index.html
18,愛情的滋味,董育君vs吳俊宏,2021-07-01,https://www.kkbox.com/tw/tc/song/vJu00YMXL5bpTElzpTElz0XL-index.html
19,漂泊的眼淚,"袁小迪, 麗蓉",2021-08-05,https://www.kkbox.com/tw/tc/song/-zg00P9HsE7ah-3nah-3n0XL-index.html
20,隨風而去,陳隨意,2021-07-01,https://www.kkbox.com/tw/tc/song/qBh00.0.p5bs5YGzs5YGz0XL-index.html
21,落葉思情,唐儷,2021-06-08,https://www.kkbox.com/tw/tc/song/lkW00LqM6T7YNWFvYNWFv0XL-index.html
22,解相思,陳隨意,2021-07-01,https://www.kkbox.com/tw/tc/song/fyU00Kk.p5bVdWazVdWaz0XL-index.html
23,望鴛鴦,唐儷,2021-06-08,https://www.kkbox.com/tw/tc/song/Zay00XaM6T7ndl1vndl1v0XL-index.html
24,愛你太超過,董育君,2021-07-01,https://www.kkbox.com/tw/tc/song/M5h008NXL5bCz3IzCz3Iz0XL-index.html
25,無言詩,陳淑萍,2021-06-08,https://www.kkbox.com/tw/tc/song/aYJ00Y7W7T7ouhw3ouhw30XL-index.html
26,眼淚證明我愛過,董育君,2021-07-01,https://www.kkbox.com/tw/tc/song/CcL00-NXL5bqhLizqhLiz0XL-index.html
27,冷夢,陳淑萍,2021-06-08,https://www.kkbox.com/tw/tc/song/eat00-8W7T7qAot3qAot30XL-index.html
28,酸甜苦澀,陳隨意,2021-07-01,https://www.kkbox.com/tw/tc/song/1470090.p5bENFozENFoz0XL-index.html
29,愛的情火,陳隨意,2021-07-01,https://www.kkbox.com/tw/tc/song/BmQ004W.p5b7DUwz7DUwz0XL-index.html
30,萬里海邊,唐儷,2021-06-08,https://www.kkbox.com/tw/tc/song/mPc00T6M6T7gW09vgW09v0XL-index.html
31,愛情驚驚,蘇宥蓉,2021-07-31,https://www.kkbox.com/tw/tc/song/rde00YNA6XrpUsBTpUsBT0XL-index.html
32,過站傷心人,蘇宥蓉,2021-07-31,https://www.kkbox.com/tw/tc/song/unJ00K8A6XrUIxUTUIxUT0XL-index.html
33,夜半戀歌,袁小迪,2021-08-05,https://www.kkbox.com/tw/tc/song/o3300DPHsE7LRJHnLRJHn0XL-index.html
34,相思欲如何,陳淑萍,2021-06-08,https://www.kkbox.com/tw/tc/song/wFe00OOW7T7-s-73-s-730XL-index.html
35,苦苦囉,唐儷,2021-06-08,https://www.kkbox.com/tw/tc/song/cze00HMM6T7RDjNvRDjNv0XL-index.html
36,今夜的風,陳淑萍,2021-06-08,https://www.kkbox.com/tw/tc/song/xKU0088W7T7CSYT3CSYT30XL-index.html
37,不甘離開你,蔡義德,2021-07-07,https://www.kkbox.com/tw/tc/song/O7v00M4XWXbYr4J3Yr4J30XL-index.html
38,望無你回頭,唐儷,2021-06-08,https://www.kkbox.com/tw/tc/song/jht005aM6T79vU.v9vU.v0XL-index.html
39,唔通叫阮的名,陳淑萍,2021-06-08,https://www.kkbox.com/tw/tc/song/ECg00MNW7T7ZcTA3ZcTA30XL-index.html
40,煞煞去,袁小迪,2021-08-05,https://www.kkbox.com/tw/tc/song/Aaf00xdHsE7492Vn492Vn0XL-index.html
41,多桑的腳踏車,董育君,2021-07-01,https://www.kkbox.com/tw/tc/song/esy00ObXL5b.R4wz.R4wz0XL-index.html
42,一生牽手過,董育君,2021-07-01,https://www.kkbox.com/tw/tc/song/A0600T7XL5bg-pozg-poz0XL-index.html
43,夢中的記誌,沈建豪,2021-07-01,https://www.kkbox.com/tw/tc/song/L9T00PH.MHbar13nar13n0XL-index.html
44,愛的感應,蘇宥蓉,2021-07-31,https://www.kkbox.com/tw/tc/song/5Lz006NA6XrBk.jTBk.jT0XL-index.html
45,寸步難行,"蔡義德, 方千玉",2021-07-07,https://www.kkbox.com/tw/tc/song/9Te00XoXWXbo9L53o9L530XL-index.html
46,天地人,袁小迪,2021-08-05,https://www.kkbox.com/tw/tc/song/K7b00TdHsE7hrKvnhrKvn0XL-index.html
47,冰火,蘇宥蓉,2021-07-31,https://www.kkbox.com/tw/tc/song/Ah100-OA6Xrqiz8Tqiz8T0XL-index.html
48,情守寡,甲子慧,2021-07-01,https://www.kkbox.com/tw/tc/song/HBny-00wHUMHbgzzngzzn0X4-index.html
49,過五關,蔡義德,2021-07-07,https://www.kkbox.com/tw/tc/song/tZ20044XWXb6G0n36G0n30XL-index.html
50,等無你的心,蘇宥蓉,2021-07-31,https://www.kkbox.com/tw/tc/song/mWx00OcA6Xr.SiMT.SiMT0XL-index.html
